Player,Question,Player's answer
SmartBot1,The Lego Group was founded in 1932.,True
SmartBot1,Pure water effectively conducts electricity ,False
SmartBot1,Did Michael Jackson invent the moonwalk?,False
SmartBot1,&quot;Santa Claus&quot; is a variety of melon.,True
SmartBot1,&quot;Typewriter&quot; is the longest word that can be typed using only the first row on a QWERTY keyboard.,False
SmartBot1,"Spoon theory is a theory, utilizing &quot;Spoons&quot; as a metaphor for energy they can use in a day.",True
SmartBot1,"When you cry in space, your tears stick to your face.",True
SmartBot1,"Kraft &quot;Cheez Whiz&quot; contains cheese culture, but doesn&#039;t actually contain cheese",True
SmartBot1,"The word &quot;news&quot; originates from the first letters of the 4 main directions on a compass (North, East, West, South).",True
SmartBot2,The commercial UK channel ITV stands for &quot;International Television&quot;.,False
SmartBot2,&quot;Typewriter&quot; is the longest word that can be typed using only the first row on a QWERTY keyboard.,False
SmartBot2,"In Scandinavian languages, the letter &Aring; means river.",False
SmartBot2,Coca-Cola&#039;s original colour was green.,False
SmartBot2,Slovakia is a member of European Union-,False
SmartBot2,Cucumbers are usually more than 90% water.,True
SmartBot2,Pure water effectively conducts electricity ,False
SmartBot2,&quot;Santa Claus&quot; is a variety of melon.,True
SmartBot2,The French word for &quot;glass&quot; is &quot;glace&quot;.,False
SmartBot3,Gumbo is a stew that originated in Louisiana.,True
SmartBot3,French is an official language in Canada.,True
SmartBot3,Cucumbers are usually more than 90% water.,True
SmartBot3,"In Scandinavian languages, the letter &Aring; means river.",True
SmartBot3,SCP-173 was the first SCP article written for the web-based collaborative fiction project known as the &quot;SCP Foundation&quot;,True
SmartBot3,An eggplant is a vegetable.,False
SmartBot3,Pure water effectively conducts electricity ,False
SmartBot3,"When you cry in space, your tears stick to your face.",True
SmartBot3,The Lego Group was founded in 1932.,True
SmartBot3,The commercial UK channel ITV stands for &quot;International Television&quot;.,False
SmartBot4,Pure water effectively conducts electricity ,False
SmartBot4,Gumbo is a stew that originated in Louisiana.,False
SmartBot4,An eggplant is a vegetable.,False
SmartBot4,&quot;Santa Claus&quot; is a variety of melon.,True
SmartBot4,The sum of all the numbers on a roulette wheel is 666.,True
SmartBot4,The French word to travel is &quot;Travail&quot;,False
SmartBot4,Nutella is produced by the German company Ferrero.,False
SmartBot4,"When you cry in space, your tears stick to your face.",True
SmartBot4,This is the correct spelling of &quot;Supercalifragilisticexpialidocious&quot;.,True
SmartBot4,Did Michael Jackson invent the moonwalk?,False
SmartBot5,The National Animal of Scotland is the Unicorn.,True
SmartBot5,"The bikini is named after the &quot;Bikini Atoll&quot;, an island where the United States conducted tests on atomic bombs.",True
SmartBot5,&quot;Typewriter&quot; is the longest word that can be typed using only the first row on a QWERTY keyboard.,False
SmartBot5,Jingle Bells was originally meant for Thanksgiving,True
SmartBot5,The French word for &quot;glass&quot; is &quot;glace&quot;.,False
SmartBot5,Slovakia is a member of European Union-,True
SmartBot5,"In architecture, a &quot;pecklesteiner&quot; is a set of doors that overlap each other when closed, and can be locked through a single keyhole.",False
SmartBot5,Stagecoach owned &quot;South West Trains&quot; before losing the rights to FirstGroup and MTR in March of 2017.,True
SmartBot5,"In Scandinavian languages, the letter &Aring; means river.",True
SmartBot5,Haggis is traditionally ate on Burns Night.,True
SmartBot6,Did Michael Jackson invent the moonwalk?,False
SmartBot6,"In architecture, a &quot;pecklesteiner&quot; is a set of doors that overlap each other when closed, and can be locked through a single keyhole.",False
SmartBot6,The French word for &quot;glass&quot; is &quot;glace&quot;.,False
SmartBot6,"The word &quot;news&quot; originates from the first letters of the 4 main directions on a compass (North, East, West, South).",False
SmartBot6,"Kraft &quot;Cheez Whiz&quot; contains cheese culture, but doesn&#039;t actually contain cheese",False
SmartBot6,Nutella is produced by the German company Ferrero.,False
SmartBot6,Gumbo is a stew that originated in Louisiana.,True
SmartBot6,"In Scandinavian languages, the letter &Aring; means river.",True
SmartBot6,Slovakia is a member of European Union-,True
SmartBot6,A pasodoble is a type of Italian pasta sauce.,False
SmartBot7,Haggis is traditionally ate on Burns Night.,False
SmartBot7,"The bikini is named after the &quot;Bikini Atoll&quot;, an island where the United States conducted tests on atomic bombs.",True
SmartBot7,An eggplant is a vegetable.,False
SmartBot7,Jingle Bells was originally meant for Thanksgiving,True
SmartBot7,Stagecoach owned &quot;South West Trains&quot; before losing the rights to FirstGroup and MTR in March of 2017.,True
SmartBot7,Pure water effectively conducts electricity ,False
SmartBot7,"In architecture, a &quot;pecklesteiner&quot; is a set of doors that overlap each other when closed, and can be locked through a single keyhole.",False
SmartBot7,The average woman is 5 inches / 13 centimeters shorter than the average man.,True
SmartBot7,"Kraft &quot;Cheez Whiz&quot; contains cheese culture, but doesn&#039;t actually contain cheese",False
SmartBot7,Slovakia is a member of European Union-,True
SmartBot8,&quot;Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo.&quot; is a grammatically correct sentence.,True
SmartBot8,Haggis is traditionally ate on Burns Night.,True
SmartBot8,"In architecture, a &quot;pecklesteiner&quot; is a set of doors that overlap each other when closed, and can be locked through a single keyhole.",False
SmartBot8,The French word for &quot;glass&quot; is &quot;glace&quot;.,False
SmartBot8,Pure water effectively conducts electricity ,True
SmartBot8,King Gizzard &amp; The Lizard Wizard&#039;s album &quot;Nonagon Infinity&quot; can be looped seamlessly.,True
SmartBot8,&quot;Typewriter&quot; is the longest word that can be typed using only the first row on a QWERTY keyboard.,False
SmartBot8,"Spoon theory is a theory, utilizing &quot;Spoons&quot; as a metaphor for energy they can use in a day.",True
SmartBot8,&quot;Santa Claus&quot; is a variety of melon.,True
SmartBot8,The term &quot;Spam&quot; came before the food product &quot;Spam&quot;.,False
SmartBot9,Sitting for more than three hours a day can cut two years off a person&#039;s life expectancy.,True
SmartBot9,An eggplant is a vegetable.,False
SmartBot9,"The word &quot;news&quot; originates from the first letters of the 4 main directions on a compass (North, East, West, South).",False
SmartBot9,The sum of all the numbers on a roulette wheel is 666.,True
SmartBot9,You are allowed to sell your soul on eBay.,False
SmartBot9,Cucumbers are usually more than 90% water.,False
SmartBot9,Slovakia is a member of European Union-,True
SmartBot9,The French word for &quot;glass&quot; is &quot;glace&quot;.,True
SmartBot9,Haggis is traditionally ate on Burns Night.,False
SmartBot9,"Spoon theory is a theory, utilizing &quot;Spoons&quot; as a metaphor for energy they can use in a day.",False
SmartBot10,Jingle Bells was originally meant for Thanksgiving,False
SmartBot10,&quot;Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo.&quot; is a grammatically correct sentence.,True
SmartBot10,Dihydrogen Monoxide is a dangerous chemical.,False
SmartBot10,Kissing someone for one minute burns about 2 calories.,True
SmartBot10,Nutella is produced by the German company Ferrero.,True
SmartBot10,"The word &quot;news&quot; originates from the first letters of the 4 main directions on a compass (North, East, West, South).",False
SmartBot10,"The bikini is named after the &quot;Bikini Atoll&quot;, an island where the United States conducted tests on atomic bombs.",True
SmartBot10,The French word for &quot;glass&quot; is &quot;glace&quot;.,False
SmartBot10,Slovakia is a member of European Union-,False
SmartBot1,This is the correct spelling of &quot;Supercalifragilisticexpialidocious&quot;.,True
SmartBot1,"The bikini is named after the &quot;Bikini Atoll&quot;, an island where the United States conducted tests on atomic bombs.",True
SmartBot1,The commercial UK channel ITV stands for &quot;International Television&quot;.,True
SmartBot1,Gumbo is a stew that originated in Louisiana.,True
SmartBot1,The vapor produced by e-cigarettes is actually water.,False
SmartBot1,Slovakia is a member of European Union-,True
SmartBot1,The French word for &quot;glass&quot; is &quot;glace&quot;.,False
SmartBot1,The term &quot;Spam&quot; came before the food product &quot;Spam&quot;.,False
SmartBot1,A pasodoble is a type of Italian pasta sauce.,True
SmartBot1,You are allowed to sell your soul on eBay.,False
SmartBot2,The National Animal of Scotland is the Unicorn.,True
SmartBot2,&quot;Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo.&quot; is a grammatically correct sentence.,False
SmartBot2,Kissing someone for one minute burns about 2 calories.,True
SmartBot2,Cucumbers are usually more than 90% water.,True
SmartBot2,Did Michael Jackson invent the moonwalk?,False
SmartBot2,King Gizzard &amp; The Lizard Wizard&#039;s album &quot;Nonagon Infinity&quot; can be looped seamlessly.,True
SmartBot2,The sum of all the numbers on a roulette wheel is 666.,False
SmartBot2,Sitting for more than three hours a day can cut two years off a person&#039;s life expectancy.,True
SmartBot2,Haggis is traditionally ate on Burns Night.,True
